'Alguien a quien amar','Alguien-a-quien-amar-2014.jpg'
'Antes del frío invierno','antesdelfrioinvierno.jpg'
'Black Coal','black-coal-espana.jpg'
'Boyhood','boyhood-momentos-de-una-vida-espana.jpg'
'Dioses y perros','dioses_y_perros.jpg'
'La desaparición de Eleanor Rigby','la-desaparicion-de-eleanor-rigby-espana.jpg'
'La gran seducción','lagranseducciona41_grande.jpg'
'Magical Girl','Magical_Girl.jpg'
'Slimane','Slimane.jpg'
'Un viaje de diez metros','un-viaje-de-diez-metros-espana.jpg'
'Viajo sola','viajo_sola.jpg'
'Winter Sleep (Sueño de invierno)','winter_sleep.jpg'
'Drácula','003-dracula-la-leyenda-jamas-contada-espana.jpg'
